AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
GOLD COAST,1985,6,22606,23929,46535,0,0,0,22606,23929,46535
HAMILTON ISLAND,1985,6,1661,1907,3568,0,0,0,1661,1907,3568
HOBART,1985,6,20281,19188,39469,657,559,1216,20938,19747,40685
KARRATHA,1985,6,8203,8015,16218,0,0,0,8203,8015,16218
LAUNCESTON,1985,6,21231,21283,42514,0,0,0,21231,21283,42514
MACKAY,1985,6,8925,8943,17868,0,0,0,8925,8943,17868
MELBOURNE,1985,6,193668,196578,390246,43094,47240,90334,236762,243818,480580
PERTH,1985,6,51062,49806,100868,19507,20815,40322,70569,70621,141190
ROCKHAMPTON,1985,6,17853,18012,35865,0,0,0,17853,18012,35865
SUNSHINE COAST,1985,6,3260,3484,6744,0,0,0,3260,3484,6744
SYDNEY,1985,6,247805,247015,494820,98770,105640,204410,346575,352655,699230
TOWNSVILLE,1985,6,39653,39529,79182,1299,1208,2507,40952,40737,81689
NEWCASTLE,1985,6,5194,5228,10422,0,0,0,5194,5228,10422
ADELAIDE,1985,7,73473,74467,147940,3851,3766,7617,77324,78233,155557
ALICE SPRINGS,1985,7,22723,22149,44872,0,0,0,22723,22149,44872
All Australian Airports,1985,7,1072786,1072786,2145572,206179,196596,402775,1278965,1269382,2548347
BALLINA,1985,7,0,0,0,0,0,0,0,0,0
BRISBANE,1985,7,119371,112580,231951,25341,20378,45719,144712,132958,277670
CAIRNS,1985,7,22989,23005,45994,2382,1957,4339,25371,24962,50333
CANBERRA,1985,7,39226,39099,78325,0,0,0,39226,39099,78325
DARWIN,1985,7,18452,17328,35780,3113,2611,5724,21565,19939,41504
GOLD COAST,1985,7,24514,22391,46905,0,0,0,24514,22391,46905
HAMILTON ISLAND,1985,7,1759,1739,3498,0,0,0,1759,1739,3498
HOBART,1985,7,14619,15569,30188,304,350,654,14923,15919,30842
KARRATHA,1985,7,8029,8140,16169,0,0,0,8029,8140,16169
LAUNCESTON,1985,7,16315,16603,32918,0,0,0,16315,16603,32918
MACKAY,1985,7,9029,8883,17912,0,0,0,9029,8883,17912
MELBOURNE,1985,7,185888,191484,377372,47568,50356,97924,233456,241840,475296
PERTH,1985,7,49919,50242,100161,18260,18739,36999,68179,68981,137160
ROCKHAMPTON,1985,7,18626,18461,37087,0,0,0,18626,18461,37087
SUNSHINE COAST,1985,7,3631,3492,7123,0,0,0,3631,3492,7123
SYDNEY,1985,7,219185,221840,441025,102757,96434,199191,321942,318274,640216
TOWNSVILLE,1985,7,44583,44332,88915,1957,1353,3310,46540,45685,92225
NEWCASTLE,1985,7,5617,5934,11551,0,0,0,5617,5934,11551
ADELAIDE,1985,8,85479,84196,169675,4056,4822,8878,89535,89018,178553
ALICE SPRINGS,1985,8,25718,24974,50692,0,0,0,25718,24974,50692
All Australian Airports,1985,8,1273956,1273956,2547912,216594,229109,445703,1490550,1503065,2993615
BALLINA,1985,8,0,0,0,0,0,0,0,0,0
BRISBANE,1985,8,139208,130539,269747,19619,20210,39829,158827,150749,309576
CAIRNS,1985,8,25710,23356,49066,2691,2243,4934,28401,25599,54000
CANBERRA,1985,8,39542,42161,81703,0,0,0,39542,42161,81703
DARWIN,1985,8,17914,18556,36470,1945,1997,3942,19859,20553,40412
GOLD COAST,1985,8,40924,32135,73059,0,0,0,40924,32135,73059
HAMILTON ISLAND,1985,8,3217,2467,5684,0,0,0,3217,2467,5684
HOBART,1985,8,19460,19732,39192,414,611,1025,19874,20343,40217
KARRATHA,1985,8,8995,9028,18023,0,0,0,8995,9028,18023
LAUNCESTON,1985,8,22147,20264,42411,0,0,0,22147,20264,42411
MACKAY,1985,8,8476,8220,16696,0,0,0,8476,8220,16696
MELBOURNE,1985,8,219731,239999,459730,51807,52527,104334,271538,292526,564064
PERTH,1985,8,58175,58002,116177,20118,20182,40300,78293,78184,156477
ROCKHAMPTON,1985,8,18586,18501,37087,0,0,0,18586,18501,37087
SUNSHINE COAST,1985,8,4502,3758,8260,0,0,0,4502,3758,8260
SYDNEY,1985,8,287009,293015,580024,114148,124626,238774,401157,417641,818798
TOWNSVILLE,1985,8,49148,48552,97700,1031,1142,2173,50179,49694,99873
NEWCASTLE,1985,8,5387,5506,10893,0,0,0,5387,5506,10893
ADELAIDE,1985,9,86165,81845,168010,5283,3531,8814,91448,85376,176824
ALICE SPRINGS,1985,9,23090,24534,47624,0,0,0,23090,24534,47624
All Australian Airports,1985,9,1287769,1287769,2575538,243608,197542,441150,1531377,1485311,3016688
BALLINA,1985,9,0,0,0,0,0,0,0,0,0
BRISBANE,1985,9,128804,138577,267381,19782,23022,42804,148586,161599,310185
CAIRNS,1985,9,21420,25153,46573,2132,1488,3620,23552,26641,50193
CANBERRA,1985,9,44654,41255,85909,0,0,0,44654,41255,85909
