AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
KARRATHA,1993,11,8550,8419,16969,0,0,0,8550,8419,16969
LAUNCESTON,1993,11,21178,21041,42219,0,0,0,21178,21041,42219
MACKAY,1993,11,9916,9883,19799,0,0,0,9916,9883,19799
MELBOURNE,1993,11,384701,381309,766010,77864,81592,159456,462565,462901,925466
PERTH,1993,11,92948,95179,188127,45021,42514,87535,137969,137693,275662
ROCKHAMPTON,1993,11,12766,13037,25803,0,0,0,12766,13037,25803
SUNSHINE COAST,1993,11,8332,8434,16766,0,0,0,8332,8434,16766
SYDNEY,1993,11,496542,479868,976410,196654,209255,405909,693196,689123,1382319
TOWNSVILLE,1993,11,19365,19840,39205,208,244,452,19573,20084,39657
NEWCASTLE,1993,11,4253,4211,8464,0,0,0,4253,4211,8464
ADELAIDE,1993,12,123429,123500,246929,8900,10637,19537,132329,134137,266466
ALICE SPRINGS,1993,12,35311,36884,72195,0,0,0,35311,36884,72195
All Australian Airports,1993,12,1896132,1896132,3792264,470552,509064,979616,2366684,2405196,4771880
BALLINA,1993,12,3517,3257,6774,0,0,0,3517,3257,6774
BRISBANE,1993,12,249356,238949,488305,73325,76798,150123,322681,315747,638428
CAIRNS,1993,12,59397,63441,122838,37256,26315,63571,96653,89756,186409
CANBERRA,1993,12,57354,62282,119636,0,0,0,57354,62282,119636
DARWIN,1993,12,20782,26128,46910,4138,5293,9431,24920,31421,56341
GOLD COAST,1993,12,77035,76208,153243,0,0,0,77035,76208,153243
HAMILTON ISLAND,1993,12,13180,11071,24251,0,0,0,13180,11071,24251
HOBART,1993,12,37004,30676,67680,396,306,702,37400,30982,68382
KARRATHA,1993,12,7568,8394,15962,0,0,0,7568,8394,15962
LAUNCESTON,1993,12,26916,22267,49183,0,0,0,26916,22267,49183
MACKAY,1993,12,10375,10280,20655,0,0,0,10375,10280,20655
MELBOURNE,1993,12,369318,386122,755440,80723,91768,172491,450041,477890,927931
PERTH,1993,12,106473,99472,205945,49694,53439,103133,156167,152911,309078
ROCKHAMPTON,1993,12,12837,13135,25972,0,0,0,12837,13135,25972
SUNSHINE COAST,1993,12,9888,8439,18327,0,0,0,9888,8439,18327
SYDNEY,1993,12,485026,483037,968063,214047,242148,456195,699073,725185,1424258
TOWNSVILLE,1993,12,19549,21672,41221,297,504,801,19846,22176,42022
NEWCASTLE,1993,12,4670,4524,9194,0,0,0,4670,4524,9194
ADELAIDE,1994,1,128156,129829,257985,11395,8634,20029,139551,138463,278014
ALICE SPRINGS,1994,1,36791,36792,73583,0,0,0,36791,36792,73583
All Australian Airports,1994,1,1959240,1959240,3918480,527407,469469,996876,2486647,2428709,4915356
BALLINA,1994,1,3054,3620,6674,0,0,0,3054,3620,6674
BRISBANE,1994,1,248303,254939,503242,76490,71062,147552,324793,326001,650794
CAIRNS,1994,1,61323,65795,127118,33668,29828,63496,94991,95623,190614
CANBERRA,1994,1,48862,46002,94864,0,0,0,48862,46002,94864
DARWIN,1994,1,25081,21128,46209,5739,4157,9896,30820,25285,56105
GOLD COAST,1994,1,83156,99553,182709,0,0,0,83156,99553,182709
HAMILTON ISLAND,1994,1,12382,14955,27337,0,0,0,12382,14955,27337
HOBART,1994,1,35102,42070,77172,474,489,963,35576,42559,78135
KARRATHA,1994,1,7715,7195,14910,0,0,0,7715,7195,14910
LAUNCESTON,1994,1,28145,33925,62070,0,0,0,28145,33925,62070
MACKAY,1994,1,9697,10103,19800,0,0,0,9697,10103,19800
MELBOURNE,1994,1,404951,384566,789517,98571,78535,177106,503522,463101,966623
PERTH,1994,1,105665,112848,218513,51394,44949,96343,157059,157797,314856
ROCKHAMPTON,1994,1,12834,12302,25136,0,0,0,12834,12302,25136
SUNSHINE COAST,1994,1,10117,11349,21466,0,0,0,10117,11349,21466
SYDNEY,1994,1,513595,485836,999431,247854,229823,477677,761449,715659,1477108
TOWNSVILLE,1994,1,20156,18876,39032,362,271,633,20518,19147,39665
NEWCASTLE,1994,1,4638,4716,9354,0,0,0,4638,4716,9354
ADELAIDE,1994,2,117017,116825,233842,9896,6851,16747,126913,123676,250589
ALICE SPRINGS,1994,2,33367,33231,66598,0,0,0,33367,33231,66598
All Australian Airports,1994,2,1752119,1752119,3504238,460291,417938,878229,2212410,2170057,4382467
BALLINA,1994,2,2462,2553,5015,0,0,0,2462,2553,5015
BRISBANE,1994,2,219393,220227,439620,65784,63202,128986,285177,283429,568606
CAIRNS,1994,2,51256,55023,106279,34183,23984,58167,85439,79007,164446
CANBERRA,1994,2,62438,63546,125984,0,0,0,62438,63546,125984
DARWIN,1994,2,18633,18103,36736,3719,3524,7243,22352,21627,43979
GOLD COAST,1994,2,59643,71824,131467,0,0,0,59643,71824,131467
HAMILTON ISLAND,1994,2,11168,10781,21949,0,0,0,11168,10781,21949
HOBART,1994,2,32873,31549,64422,405,398,803,33278,31947,65225
KARRATHA,1994,2,6973,6976,13949,0,0,0,6973,6976,13949
LAUNCESTON,1994,2,23688,21649,45337,0,0,0,23688,21649,45337
MACKAY,1994,2,8426,8632,17058,0,0,0,8426,8632,17058
MELBOURNE,1994,2,362983,361735,724718,81738,69912,151650,444721,431647,876368
PERTH,1994,2,88877,89801,178678,46854,39232,86086,135731,129033,264764
ROCKHAMPTON,1994,2,11456,11058,22514,0,0,0,11456,11058,22514
SUNSHINE COAST,1994,2,7035,7370,14405,0,0,0,7035,7370,14405
SYDNEY,1994,2,465210,451458,916668,216374,209543,425917,681584,661001,1342585
TOWNSVILLE,1994,2,17045,17087,34132,214,244,458,17259,17331,34590
NEWCASTLE,1994,2,4158,4057,8215,0,0,0,4158,4057,8215
ADELAIDE,1994,3,133809,136867,270676,8719,9729,18448,142528,146596,289124
ALICE SPRINGS,1994,3,40177,40198,80375,0,0,0,40177,40198,80375
All Australian Airports,1994,3,2017836,2017836,4035672,457106,479516,936622,2474942,2497352,4972294
BALLINA,1994,3,3180,3106,6286,0,0,0,3180,3106,6286
BRISBANE,1994,3,257731,253367,511098,65388,63942,129330,323119,317309,640428
CAIRNS,1994,3,63034,63519,126553,32101,28370,60471,95135,91889,187024
CANBERRA,1994,3,69773,73158,142931,0,0,0,69773,73158,142931
DARWIN,1994,3,23186,23490,46676,4466,4647,9113,27652,28137,55789
GOLD COAST,1994,3,69466,75874,145340,0,0,0,69466,75874,145340
HAMILTON ISLAND,1994,3,12818,12525,25343,0,0,0,12818,12525,25343
HOBART,1994,3,34105,36150,70255,416,386,802,34521,36536,71057
KARRATHA,1994,3,7420,7457,14877,0,0,0,7420,7457,14877
LAUNCESTON,1994,3,24794,26441,51235,0,0,0,24794,26441,51235
MACKAY,1994,3,9923,9775,19698,0,0,0,9923,9775,19698
MELBOURNE,1994,3,411115,416493,827608,79814,83879,163693,490929,500372,991301
PERTH,1994,3,105109,103210,208319,50284,47779,98063,155393,150989,306382
ROCKHAMPTON,1994,3,11906,11893,23799,0,0,0,11906,11893,23799
SUNSHINE COAST,1994,3,8484,8409,16893,0,0,0,8484,8409,16893
SYDNEY,1994,3,529404,513628,1043032,214118,239121,453239,743522,752749,1496271
TOWNSVILLE,1994,3,20547,20657,41204,141,205,346,20688,20862,41550
NEWCASTLE,1994,3,4863,4878,9741,0,0,0,4863,4878,9741
ADELAIDE,1994,4,126953,133145,260098,8102,9679,17781,135055,142824,277879
ALICE SPRINGS,1994,4,36193,36766,72959,0,0,0,36193,36766,72959
All Australian Airports,1994,4,1942669,1942669,3885338,420003,448911,868914,2362672,2391580,4754252
BALLINA,1994,4,2876,3079,5955,0,0,0,2876,3079,5955
BRISBANE,1994,4,252331,257563,509894,63604,63550,127154,315935,321113,637048
CAIRNS,1994,4,64247,66528,130775,27534,22088,49622,91781,88616,180397
CANBERRA,1994,4,62973,64852,127825,0,0,0,62973,64852,127825
DARWIN,1994,4,23999,23662,47661,4827,4735,9562,28826,28397,57223
GOLD COAST,1994,4,66770,76129,142899,0,0,0,66770,76129,142899
HAMILTON ISLAND,1994,4,12106,12090,24196,0,0,0,12106,12090,24196
HOBART,1994,4,30128,31556,61684,490,419,909,30618,31975,62593
KARRATHA,1994,4,7666,7424,15090,0,0,0,7666,7424,15090
LAUNCESTON,1994,4,23504,24055,47559,0,0,0,23504,24055,47559
MACKAY,1994,4,9947,10454,20401,0,0,0,9947,10454,20401
MELBOURNE,1994,4,393690,388156,781846,73495,79473,152968,467185,467629,934814
PERTH,1994,4,95305,101166,196471,42409,47238,89647,137714,148404,286118
ROCKHAMPTON,1994,4,12396,12286,24682,0,0,0,12396,12286,24682
SUNSHINE COAST,1994,4,9362,9889,19251,0,0,0,9362,9889,19251
SYDNEY,1994,4,514059,484573,998632,197992,219827,417819,712051,704400,1416451
TOWNSVILLE,1994,4,22229,21744,43973,111,252,363,22340,21996,44336
NEWCASTLE,1994,4,4574,4412,8986,0,0,0,4574,4412,8986
ADELAIDE,1994,5,122452,123099,245551,6250,8464,14714,128702,131563,260265
ALICE SPRINGS,1994,5,33557,34839,68396,0,0,0,33557,34839,68396
All Australian Airports,1994,5,1822666,1822666,3645332,359926,418249,778175,2182592,2240915,4423507
BALLINA,1994,5,2777,2713,5490,0,0,0,2777,2713,5490
BRISBANE,1994,5,237751,236311,474062,57992,60290,118282,295743,296601,592344
CAIRNS,1994,5,60539,60277,120816,27912,24232,52144,88451,84509,172960
CANBERRA,1994,5,67178,68746,135924,0,0,0,67178,68746,135924
DARWIN,1994,5,25503,24983,50486,4275,5252,9527,29778,30235,60013
GOLD COAST,1994,5,55491,64635,120126,0,0,0,55491,64635,120126
HAMILTON ISLAND,1994,5,9669,9993,19662,0,0,0,9669,9993,19662
HOBART,1994,5,26777,31421,58198,243,295,538,27020,31716,58736
KARRATHA,1994,5,7943,7716,15659,0,0,0,7943,7716,15659
LAUNCESTON,1994,5,18069,21173,39242,0,0,0,18069,21173,39242
MACKAY,1994,5,10010,9892,19902,0,0,0,10010,9892,19902
MELBOURNE,1994,5,360119,364693,724812,58306,70387,128693,418425,435080,853505
PERTH,1994,5,94933,94724,189657,36190,41107,77297,131123,135831,266954
ROCKHAMPTON,1994,5,11307,11458,22765,0,0,0,11307,11458,22765
SUNSHINE COAST,1994,5,8209,8310,16519,0,0,0,8209,8310,16519
SYDNEY,1994,5,479309,454776,934085,167227,206570,373797,646536,661346,1307882
TOWNSVILLE,1994,5,21989,22270,44259,80,109,189,22069,22379,44448
NEWCASTLE,1994,5,4279,4309,8588,0,0,0,4279,4309,8588
ADELAIDE,1994,6,119167,120298,239465,7094,7826,14920,126261,128124,254385
ALICE SPRINGS,1994,6,34276,34451,68727,0,0,0,34276,34451,68727
All Australian Airports,1994,6,1881521,1881521,3763042,398165,434962,833127,2279686,2316483,4596169
BALLINA,1994,6,2957,2921,5878,0,0,0,2957,2921,5878
BRISBANE,1994,6,257794,261141,518935,67054,63444,130498,324848,324585,649433
CAIRNS,1994,6,69255,66457,135712,31364,23510,54874,100619,89967,190586
CANBERRA,1994,6,60427,66799,127226,0,0,0,60427,66799,127226
DARWIN,1994,6,30071,30040,60111,5339,6106,11445,35410,36146,71556
GOLD COAST,1994,6,64572,70243,134815,0,0,0,64572,70243,134815
HAMILTON ISLAND,1994,6,9974,9364,19338,0,0,0,9974,9364,19338
HOBART,1994,6,27392,25460,52852,160,131,291,27552,25591,53143
KARRATHA,1994,6,7890,7967,15857,0,0,0,7890,7967,15857
LAUNCESTON,1994,6,18284,16988,35272,0,0,0,18284,16988,35272
MACKAY,1994,6,10946,10554,21500,0,0,0,10946,10554,21500
MELBOURNE,1994,6,361675,366515,728190,65435,74695,140130,427110,441210,868320
PERTH,1994,6,94985,93412,188397,39572,43465,83037,134557,136877,271434
ROCKHAMPTON,1994,6,12764,12858,25622,0,0,0,12764,12858,25622
SUNSHINE COAST,1994,6,9259,8587,17846,0,0,0,9259,8587,17846
SYDNEY,1994,6,491835,483124,974959,180671,214096,394767,672506,697220,1369726
TOWNSVILLE,1994,6,24760,23426,48186,143,288,431,24903,23714,48617
NEWCASTLE,1994,6,4181,4210,8391,0,0,0,4181,4210,8391
ADELAIDE,1994,7,136545,140563,277108,10622,9948,20570,147167,150511,297678
ALICE SPRINGS,1994,7,42593,43816,86409,0,0,0,42593,43816,86409
All Australian Airports,1994,7,2115581,2115581,4231162,522764,453194,975958,2638345,2568775,5207120
BALLINA,1994,7,2914,2974,5888,0,0,0,2914,2974,5888
BRISBANE,1994,7,292285,291709,583994,76352,64109,140461,368637,355818,724455
CAIRNS,1994,7,82085,84490,166575,31988,26048,58036,114073,110538,224611
CANBERRA,1994,7,66525,65844,132369,0,0,0,66525,65844,132369
DARWIN,1994,7,35664,35691,71355,9265,6737,16002,44929,42428,87357
GOLD COAST,1994,7,77582,78855,156437,0,0,0,77582,78855,156437
HAMILTON ISLAND,1994,7,11733,10983,22716,0,0,0,11733,10983,22716
HOBART,1994,7,28917,30062,58979,179,152,331,29096,30214,59310
KARRATHA,1994,7,9055,9123,18178,0,0,0,9055,9123,18178
LAUNCESTON,1994,7,17806,18756,36562,0,0,0,17806,18756,36562
MACKAY,1994,7,11115,11546,22661,0,0,0,11115,11546,22661
MELBOURNE,1994,7,408300,411275,819575,86147,78555,164702,494447,489830,984277
PERTH,1994,7,108260,112767,221027,53962,49119,103081,162222,161886,324108
ROCKHAMPTON,1994,7,13590,13367,26957,0,0,0,13590,13367,26957
SUNSHINE COAST,1994,7,11714,11175,22889,0,0,0,11714,11175,22889
SYDNEY,1994,7,545804,530614,1076418,252596,216791,469387,798400,747405,1545805
TOWNSVILLE,1994,7,28002,26973,54975,215,309,524,28217,27282,55499
NEWCASTLE,1994,7,3545,3327,6872,0,0,0,3545,3327,6872
ADELAIDE,1994,8,133179,133122,266301,8534,7828,16362,141713,140950,282663
ALICE SPRINGS,1994,8,42904,44656,87560,0,0,0,42904,44656,87560
All Australian Airports,1994,8,2052569,2052569,4105138,451024,470159,921183,2503593,2522728,5026321
BALLINA,1994,8,2741,2766,5507,0,0,0,2741,2766,5507
BRISBANE,1994,8,278951,285897,564848,70462,74167,144629,349413,360064,709477
CAIRNS,1994,8,80820,82395,163215,32717,36287,69004,113537,118682,232219
CANBERRA,1994,8,67520,68172,135692,0,0,0,67520,68172,135692
DARWIN,1994,8,31231,33794,65025,6002,6160,12162,37233,39954,77187
GOLD COAST,1994,8,70142,76647,146789,0,0,0,70142,76647,146789
HAMILTON ISLAND,1994,8,12638,12516,25154,0,0,0,12638,12516,25154
HOBART,1994,8,28094,30880,58974,247,303,550,28341,31183,59524
KARRATHA,1994,8,8840,9057,17897,0,0,0,8840,9057,17897
LAUNCESTON,1994,8,17513,19042,36555,0,0,0,17513,19042,36555
MACKAY,1994,8,11136,11215,22351,0,0,0,11136,11215,22351
MELBOURNE,1994,8,396788,393361,790149,70482,69829,140311,467270,463190,930460
PERTH,1994,8,102656,102070,204726,45538,42381,87919,148194,144451,292645
ROCKHAMPTON,1994,8,13070,13348,26418,0,0,0,13070,13348,26418
SUNSHINE COAST,1994,8,10955,10949,21904,0,0,0,10955,10949,21904
SYDNEY,1994,8,533927,510659,1044586,215225,231484,446709,749152,742143,1491295
TOWNSVILLE,1994,8,23996,25405,49401,95,186,281,24091,25591,49682
NEWCASTLE,1994,8,3586,3391,6977,0,0,0,3586,3391,6977
ADELAIDE,1994,9,138758,139962,278720,10106,8100,18206,148864,148062,296926
ALICE SPRINGS,1994,9,38606,39286,77892,0,0,0,38606,39286,77892
All Australian Airports,1994,9,2161239,2161239,4322478,466412,464745,931157,2627651,2625984,5253635
BALLINA,1994,9,3225,3159,6384,0,0,0,3225,3159,6384
BRISBANE,1994,9,293051,294848,587899,77212,69174,146386,370263,364022,734285
CAIRNS,1994,9,76023,78295,154318,25303,25074,50377,101326,103369,204695
CANBERRA,1994,9,68787,73663,142450,0,0,0,68787,73663,142450
DARWIN,1994,9,29169,30369,59538,6656,5657,12313,35825,36026,71851
GOLD COAST,1994,9,79541,84134,163675,0,0,0,79541,84134,163675
HAMILTON ISLAND,1994,9,15105,14215,29320,0,0,0,15105,14215,29320
HOBART,1994,9,35452,29866,65318,330,301,631,35782,30167,65949
KARRATHA,1994,9,8921,9039,17960,0,0,0,8921,9039,17960
LAUNCESTON,1994,9,24985,20709,45694,0,0,0,24985,20709,45694
MACKAY,1994,9,11921,12107,24028,0,0,0,11921,12107,24028
MELBOURNE,1994,9,430148,426165,856313,81325,77858,159183,511473,504023,1015496
PERTH,1994,9,112354,113911,226265,47137,43693,90830,159491,157604,317095
ROCKHAMPTON,1994,9,13303,13774,27077,0,0,0,13303,13774,27077
SUNSHINE COAST,1994,9,13243,12578,25821,0,0,0,13243,12578,25821
SYDNEY,1994,9,550655,546230,1096885,216559,233087,449646,767214,779317,1546531
TOWNSVILLE,1994,9,25542,26737,52279,144,207,351,25686,26944,52630
NEWCASTLE,1994,9,4254,4376,8630,0,0,0,4254,4376,8630
ADELAIDE,1994,10,148888,146708,295596,11592,7112,18704,160480,153820,314300
ALICE SPRINGS,1994,10,43295,45103,88398,0,0,0,43295,45103,88398
All Australian Airports,1994,10,2251862,2251862,4503724,543192,444819,988011,2795054,2696681,5491735
BALLINA,1994,10,3413,3418,6831,0,0,0,3413,3418,6831
BRISBANE,1994,10,296834,310598,607432,87520,68517,156037,384354,379115,763469
CAIRNS,1994,10,81518,87844,169362,29723,24847,54570,111241,112691,223932
CANBERRA,1994,10,74191,71497,145688,0,0,0,74191,71497,145688
DARWIN,1994,10,28695,30925,59620,7844,5312,13156,36539,36237,72776
GOLD COAST,1994,10,80122,93117,173239,0,0,0,80122,93117,173239
HAMILTON ISLAND,1994,10,17228,17065,34293,0,0,0,17228,17065,34293
HOBART,1994,10,32204,32180,64384,403,288,691,32607,32468,65075
KARRATHA,1994,10,8997,9161,18158,0,0,0,8997,9161,18158
LAUNCESTON,1994,10,21669,21869,43538,0,0,0,21669,21869,43538
MACKAY,1994,10,12205,12835,25040,0,0,0,12205,12835,25040
MELBOURNE,1994,10,446808,442173,888981,92148,69632,161780,538956,511805,1050761
PERTH,1994,10,121013,121598,242611,56081,42709,98790,177094,164307,341401
ROCKHAMPTON,1994,10,13834,13440,27274,0,0,0,13834,13440,27274
SUNSHINE COAST,1994,10,12847,13777,26624,0,0,0,12847,13777,26624
SYDNEY,1994,10,583664,553709,1137373,255703,224132,479835,839367,777841,1617208
TOWNSVILLE,1994,10,25241,25777,51018,232,223,455,25473,26000,51473
NEWCASTLE,1994,10,4796,4520,9316,0,0,0,4796,4520,9316
ADELAIDE,1994,11,143969,145559,289528,10131,8148,18279,154100,153707,307807
ALICE SPRINGS,1994,11,41663,42845,84508,0,0,0,41663,42845,84508
All Australian Airports,1994,11,2114914,2114914,4229828,468686,465186,933872,2583600,2580100,5163700
BALLINA,1994,11,2977,3126,6103,0,0,0,2977,3126,6103
BRISBANE,1994,11,266917,275553,542470,80028,68176,148204,346945,343729,690674
CAIRNS,1994,11,72940,75225,148165,26115,24753,50868,99055,99978,199033
CANBERRA,1994,11,75339,76369,151708,0,0,0,75339,76369,151708
DARWIN,1994,11,24458,26466,50924,5239,4999,10238,29697,31465,61162
GOLD COAST,1994,11,69415,81365,150780,0,0,0,69415,81365,150780
HAMILTON ISLAND,1994,11,15140,15588,30728,0,0,0,15140,15588,30728
HOBART,1994,11,32958,33135,66093,330,326,656,33288,33461,66749
KARRATHA,1994,11,9283,9283,18566,0,0,0,9283,9283,18566
LAUNCESTON,1994,11,22311,22485,44796,0,0,0,22311,22485,44796
MACKAY,1994,11,11225,11173,22398,0,0,0,11225,11173,22398
MELBOURNE,1994,11,429033,429990,859023,76058,74705,150763,505091,504695,1009786
PERTH,1994,11,110813,111922,222735,49611,45697,95308,160424,157619,318043
ROCKHAMPTON,1994,11,13115,13667,26782,0,0,0,13115,13667,26782
SUNSHINE COAST,1994,11,11021,11758,22779,0,0,0,11021,11758,22779
SYDNEY,1994,11,554134,521028,1075162,219107,236298,455405,773241,757326,1530567
TOWNSVILLE,1994,11,21707,22459,44166,0,0,0,21707,22459,44166
NEWCASTLE,1994,11,4540,4508,9048,0,0,0,4540,4508,9048
ADELAIDE,1994,12,129648,130232,259880,8966,10630,19596,138614,140862,279476
ALICE SPRINGS,1994,12,37948,39696,77644,0,0,0,37948,39696,77644
All Australian Airports,1994,12,2074197,2074197,4148394,516874,554602,1071476,2591071,2628799,5219870
BALLINA,1994,12,3666,3311,6977,0,0,0,3666,3311,6977
BRISBANE,1994,12,270677,271511,542188,90655,77883,168538,361332,349394,710726
CAIRNS,1994,12,68367,73212,141579,33156,24490,57646,101523,97702,199225
CANBERRA,1994,12,62105,67102,129207,0,0,0,62105,67102,129207
DARWIN,1994,12,23888,28703,52591,4935,6389,11324,28823,35092,63915
GOLD COAST,1994,12,85005,85410,170415,0,0,0,85005,85410,170415
HAMILTON ISLAND,1994,12,15122,13484,28606,0,0,0,15122,13484,28606
HOBART,1994,12,39520,32408,71928,411,400,811,39931,32808,72739
KARRATHA,1994,12,8105,9547,17652,0,0,0,8105,9547,17652
LAUNCESTON,1994,12,28123,23397,51520,0,0,0,28123,23397,51520
MACKAY,1994,12,10708,10970,21678,0,0,0,10708,10970,21678
MELBOURNE,1994,12,405538,423545,829083,83669,96860,180529,489207,520405,1009612
PERTH,1994,12,122209,112648,234857,55513,59132,114645,177722,171780,349502
ROCKHAMPTON,1994,12,12080,12223,24303,0,0,0,12080,12223,24303
SUNSHINE COAST,1994,12,12470,10847,23317,0,0,0,12470,10847,23317
SYDNEY,1994,12,530925,514940,1045865,237509,276787,514296,768434,791727,1560161
TOWNSVILLE,1994,12,21108,24132,45240,0,0,0,21108,24132,45240
NEWCASTLE,1994,12,4977,4961,9938,0,0,0,4977,4961,9938
ADELAIDE,1995,1,141302,143107,284409,11250,8889,20139,152552,151996,304548
ALICE SPRINGS,1995,1,39743,39947,79690,0,0,0,39743,39947,79690
All Australian Airports,1995,1,2198830,2198830,4397660,589329,519315,1108644,2788159,2718145,5506304
BALLINA,1995,1,3474,3861,7335,0,0,0,3474,3861,7335
BRISBANE,1995,1,282179,293581,575760,99263,75500,174763,381442,369081,750523
CAIRNS,1995,1,74221,77693,151914,29904,30614,60518,104125,108307,212432
CANBERRA,1995,1,55941,52362,108303,0,0,0,55941,52362,108303
DARWIN,1995,1,29177,26082,55259,6577,4999,11576,35754,31081,66835
GOLD COAST,1995,1,93084,111541,204625,0,0,0,93084,111541,204625
HAMILTON ISLAND,1995,1,14267,16750,31017,0,0,0,14267,16750,31017
HOBART,1995,1,40799,51917,92716,315,388,703,41114,52305,93419
KARRATHA,1995,1,8797,7957,16754,0,0,0,8797,7957,16754
LAUNCESTON,1995,1,31231,37351,68582,0,0,0,31231,37351,68582
MACKAY,1995,1,10797,11019,21816,0,0,0,10797,11019,21816
MELBOURNE,1995,1,458179,434940,893119,100753,84363,185116,558932,519303,1078235
PERTH,1995,1,122847,133939,256786,56244,50272,106516,179091,184211,363302
ROCKHAMPTON,1995,1,11965,11930,23895,0,0,0,11965,11930,23895
SUNSHINE COAST,1995,1,12592,14334,26926,0,0,0,12592,14334,26926
SYDNEY,1995,1,575303,537982,1113285,283194,262220,545414,858497,800202,1658699
TOWNSVILLE,1995,1,23165,21227,44392,0,0,0,23165,21227,44392
NEWCASTLE,1995,1,4751,4815,9566,0,0,0,4751,4815,9566
ADELAIDE,1995,2,126089,126934,253023,9130,6914,16044,135219,133848,269067
ALICE SPRINGS,1995,2,34020,34690,68710,0,0,0,34020,34690,68710
All Australian Airports,1995,2,1910419,1910419,3820838,490333,439366,929699,2400752,2349785,4750537
BALLINA,1995,2,2631,2694,5325,0,0,0,2631,2694,5325
BRISBANE,1995,2,237729,248934,486663,78074,66883,144957,315803,315817,631620
CAIRNS,1995,2,59194,61302,120496,23832,21971,45803,83026,83273,166299
CANBERRA,1995,2,70835,70595,141430,0,0,0,70835,70595,141430
DARWIN,1995,2,20428,20188,40616,4507,3675,8182,24935,23863,48798
GOLD COAST,1995,2,64304,74623,138927,0,0,0,64304,74623,138927
HAMILTON ISLAND,1995,2,10557,10561,21118,0,0,0,10557,10561,21118
HOBART,1995,2,36045,32600,68645,263,260,523,36308,32860,69168
KARRATHA,1995,2,6626,6641,13267,0,0,0,6626,6641,13267
LAUNCESTON,1995,2,26221,23481,49702,0,0,0,26221,23481,49702
MACKAY,1995,2,9456,9566,19022,0,0,0,9456,9566,19022
MELBOURNE,1995,2,408658,404102,812760,89076,71597,160673,497734,475699,973433
PERTH,1995,2,100977,102195,203172,49223,40143,89366,150200,142338,292538
ROCKHAMPTON,1995,2,10880,10644,21524,0,0,0,10880,10644,21524
SUNSHINE COAST,1995,2,8538,9123,17661,0,0,0,8538,9123,17661
SYDNEY,1995,2,498069,483910,981979,234727,226615,461342,732796,710525,1443321
TOWNSVILLE,1995,2,19211,18770,37981,0,0,0,19211,18770,37981
NEWCASTLE,1995,2,5242,5192,10434,0,0,0,5242,5192,10434
ADELAIDE,1995,3,136839,138455,275294,8120,9584,17704,144959,148039,292998
ALICE SPRINGS,1995,3,40831,41745,82576,0,0,0,40831,41745,82576
All Australian Airports,1995,3,2088894,2088894,4177788,466598,502616,969214,2555492,2591510,5147002
BALLINA,1995,3,2784,2889,5673,0,0,0,2784,2889,5673
BRISBANE,1995,3,260926,268517,529443,80033,72401,152434,340959,340918,681877
CAIRNS,1995,3,67160,66937,134097,25513,26678,52191,92673,93615,186288
CANBERRA,1995,3,77990,80762,158752,0,0,0,77990,80762,158752
DARWIN,1995,3,25186,25139,50325,4518,5061,9579,29704,30200,59904
GOLD COAST,1995,3,71790,75294,147084,0,0,0,71790,75294,147084
HAMILTON ISLAND,1995,3,11926,11876,23802,0,0,0,11926,11876,23802
HOBART,1995,3,35650,38498,74148,336,378,714,35986,38876,74862
KARRATHA,1995,3,8306,7989,16295,0,0,0,8306,7989,16295
LAUNCESTON,1995,3,25169,26507,51676,0,0,0,25169,26507,51676
MACKAY,1995,3,10818,11009,21827,0,0,0,10818,11009,21827
MELBOURNE,1995,3,435074,438384,873458,79406,86624,166030,514480,525008,1039488
PERTH,1995,3,109180,109118,218298,48580,51582,100162,157760,160700,318460
ROCKHAMPTON,1995,3,11814,12249,24063,0,0,0,11814,12249,24063
SUNSHINE COAST,1995,3,9495,9400,18895,0,0,0,9495,9400,18895
SYDNEY,1995,3,542935,518251,1061186,218138,248382,466520,761073,766633,1527706
TOWNSVILLE,1995,3,21727,21692,43419,0,0,0,21727,21692,43419
NEWCASTLE,1995,3,5987,6146,12133,0,0,0,5987,6146,12133
ADELAIDE,1995,4,137386,141225,278611,8398,8721,17119,145784,149946,295730
ALICE SPRINGS,1995,4,37469,38356,75825,0,0,0,37469,38356,75825
All Australian Airports,1995,4,2126236,2126236,4252472,469570,498096,967666,2595806,2624332,5220138
BALLINA,1995,4,3530,3368,6898,0,0,0,3530,3368,6898
BRISBANE,1995,4,277549,285040,562589,84830,71971,156801,362379,357011,719390
CAIRNS,1995,4,72917,73542,146459,23163,22810,45973,96080,96352,192432
CANBERRA,1995,4,71873,71989,143862,0,0,0,71873,71989,143862
DARWIN,1995,4,28278,28006,56284,5262,5140,10402,33540,33146,66686
GOLD COAST,1995,4,76334,84330,160664,0,0,0,76334,84330,160664
HAMILTON ISLAND,1995,4,13325,12885,26210,0,0,0,13325,12885,26210
HOBART,1995,4,33255,35933,69188,404,440,844,33659,36373,70032
KARRATHA,1995,4,7806,7945,15751,0,0,0,7806,7945,15751
LAUNCESTON,1995,4,24085,25435,49520,0,0,0,24085,25435,49520
MACKAY,1995,4,11488,11833,23321,0,0,0,11488,11833,23321
MELBOURNE,1995,4,427337,427434,854771,80703,90710,171413,508040,518144,1026184
